Дата,Средняя температура,Город
05.02.2017,7.4,Paris
06.02.2017,6.9,Paris
07.02.2017,7.7,Paris
08.02.2017,6.4,Paris
09.02.2017,4.0,Paris
10.02.2017,1.9,Paris
11.02.2017,0.7,Paris
12.02.2017,4.1,Paris
13.02.2017,6.3,Paris
14.02.2017,7.8,Paris
15.02.2017,11.6,Paris
16.02.2017,10.6,Paris
17.02.2017,7.8,Paris
18.02.2017,6.4,Paris
19.02.2017,7.3,Paris
20.02.2017,10.4,Paris
21.02.2017,12.5,Paris
22.02.2017,11.2,Paris
23.02.2017,10.1,Paris
24.02.2017,6.9,Paris
25.02.2017,6.6,Paris
26.02.2017,9.6,Paris
27.02.2017,9.6,Paris
28.02.2017,6.2,Paris
01.03.2017,8.4,Paris
02.03.2017,8.8,Paris
03.03.2017,10.7,Paris
04.03.2017,8.6,Paris
05.03.2017,6.8,Paris
06.03.2017,6.4,Paris
07.03.2017,7.5,Paris
08.03.2017,10.4,Paris
09.03.2017,12.9,Paris
10.03.2017,9.3,Paris
11.03.2017,10.9,Paris
12.03.2017,11.9,Paris
13.03.2017,11.4,Paris
14.03.2017,10.6,Paris
15.03.2017,12.0,Paris
16.03.2017,13.7,Paris
17.03.2017,10.6,Paris
18.03.2017,11.2,Paris
19.03.2017,12.4,Paris
20.03.2017,11.4,Paris
21.03.2017,9.4,Paris
22.03.2017,8.7,Paris
23.03.2017,9.6,Paris
24.03.2017,10.3,Paris
25.03.2017,12.6,Paris
26.03.2017,12.8,Paris
27.03.2017,13.9,Paris
28.03.2017,13.4,Paris
29.03.2017,14.3,Paris
30.03.2017,16.8,Paris
31.03.2017,14.9,Paris
01.04.2017,12.5,Paris
02.04.2017,13.6,Paris
03.04.2017,14.3,Paris
04.04.2017,13.4,Paris
05.04.2017,11.6,Paris
06.04.2017,10.7,Paris
07.04.2017,12.7,Paris
08.04.2017,15.1,Paris
09.04.2017,17.7,Paris
10.04.2017,13.3,Paris
11.04.2017,11.9,Paris
12.04.2017,12.9,Paris
13.04.2017,11.9,Paris
14.04.2017,13.0,Paris
15.04.2017,11.8,Paris
16.04.2017,10.8,Paris
17.04.2017,10.6,Paris
18.04.2017,8.1,Paris
19.04.2017,7.9,Paris
20.04.2017,8.5,Paris
21.04.2017,12.3,Paris
22.04.2017,12.2,Paris
23.04.2017,10.9,Paris
24.04.2017,12.1,Paris
25.04.2017,8.8,Paris
26.04.2017,6.4,Paris
27.04.2017,7.4,Paris
28.04.2017,9.3,Paris
29.04.2017,12.2,Paris
30.04.2017,12.5,Paris
01.05.2017,11.0,Paris
02.05.2017,12.7,Paris
03.05.2017,10.1,Paris
04.05.2017,11.6,Paris
05.05.2017,13.4,Paris
06.05.2017,12.1,Paris
07.05.2017,11.7,Paris
08.05.2017,10.6,Paris
09.05.2017,12.2,Paris
10.05.2017,15.4,Paris
11.05.2017,16.2,Paris
12.05.2017,15.6,Paris
13.05.2017,15.7,Paris
14.05.2017,15.8,Paris
15.05.2017,18.1,Paris
16.05.2017,21.1,Paris
17.05.2017,22.7,Paris
18.05.2017,16.2,Paris
19.05.2017,12.1,Paris
20.05.2017,13.3,Paris
21.05.2017,16.6,Paris
22.05.2017,20.1,Paris
23.05.2017,19.7,Paris
24.05.2017,19.8,Paris
25.05.2017,22.1,Paris
26.05.2017,23.3,Paris
27.05.2017,24.7,Paris
28.05.2017,19.0,Paris
29.05.2017,25.1,Paris
30.05.2017,19.7,Paris
31.05.2017,19.7,Paris
01.06.2017,22.4,Paris
02.06.2017,21.8,Paris
03.06.2017,17.1,Paris
04.06.2017,15.8,Paris
05.06.2017,18.6,Paris
07.06.2017,15.2,Paris
06.06.2017,14.3,Paris
08.06.2017,20.3,Paris
09.06.2017,18.9,Paris
10.06.2017,22.0,Paris
11.06.2017,23.3,Paris
12.06.2017,17.8,Paris
13.06.2017,19.1,Paris
14.06.2017,23.4,Paris
15.06.2017,23.6,Paris
16.06.2017,18.5,Paris
17.06.2017,21.9,Paris
18.06.2017,25.0,Paris
19.06.2017,26.9,Paris
20.06.2017,28.6,Paris
21.06.2017,30.3,Paris
22.06.2017,27.8,Paris
23.06.2017,19.9,Paris
24.06.2017,21.3,Paris
25.06.2017,22.5,Paris
26.06.2017,22.3,Paris
27.06.2017,21.5,Paris
28.06.2017,19.3,Paris
29.06.2017,17.2,Paris
30.06.2017,16.5,Paris
01.07.2017,16.9,Paris
02.07.2017,17.4,Paris
03.07.2017,19.6,Paris
04.07.2017,22.1,Paris
05.07.2017,25.6,Paris
06.07.2017,26.6,Paris
07.07.2017,27.1,Paris
08.07.2017,24.7,Paris
09.07.2017,23.2,Paris
10.07.2017,19.1,Paris
11.07.2017,19.6,Paris
12.07.2017,19.7,Paris
13.07.2017,19.9,Paris
14.07.2017,19.1,Paris
15.07.2017,20.3,Paris
16.07.2017,23.3,Paris
17.07.2017,21.8,Paris
18.07.2017,26.8,Paris
19.07.2017,24.9,Paris
20.07.2017,20.1,Paris
21.07.2017,20.6,Paris
22.07.2017,18.1,Paris
23.07.2017,17.2,Paris
24.07.2017,16.5,Paris
